Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,N/A,N/A,2020-07-31 23:52:32 EDT,2020-08-01,23:52:32,Photo,9,2,0,5,1,0,0,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/924251288060634,,,,,,,,,,-2.56
Anti Mask Anti vaccine Pro Freedom,,325450458467336,none,,,2020-08-31 10:29:10 EDT,N/A,N/A,2020-07-31 23:19:16 EDT,2020-08-01,23:19:16,Photo,6,2,1,1,0,1,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/325450458467336/permalink/335298987482483,It starts. Here comes the fear sheeple crowd ×10! All because the tv said so,https://www.facebook.com/photo.php?fbid=3382230075129926&set=gm.335298987482483&type=3,,,,,,,,-3.33
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,N/A,N/A,2020-07-31 23:18:16 EDT,2020-08-01,23:18:16,Photo,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/924235331395563,,,,,,,,,,-11.5
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,N/A,N/A,2020-07-31 22:36:40 EDT,2020-08-01,22:36:40,Link,3,1,2,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/924216018064161,,https://www.facebook.com/groups/329620620894984/permalink/870066556850385/,,NEWS 7NEWS Sydney 3h Up to 400 people will be allowed at the Auburn Gallipoli Mosque for the annual festival of Eid al-Adha. i 7NEWS.COM.AU COVID exemption granted for hundreds of worshippers at Sydney mosque,This is a re-share of a post,"The Government’s permission for groups of 400 Muslims (a minority group) to congregate in Auburn Gallipoli Mosque for Eid Al-Adha while Christians (mainstream culture) were forbidden to attend their churches at Easter is an  EXAMPLE of REPRESSIVE TOLERANCE in our daily life.  

THIS IS MARXISM—DECEITFUL, BIGOTED, UNJUST, OPPRESSIVE and DIVISIVE. 

Marxists will never tell you why they’re doing this. A communist NEW WORLD ORDER is still their HIDDEN agenda. 

“REPRESSIVE TOLERANCE” IS NOW CALLED “POLITICAL “CORRECTNESS”.  

It’s one of Marxists’ many strategies of destroying capitalism. 
* Capitalism protects inequality of wealth by allowing the most capable and lucky to do better than others.  
* Capitalism also creates great wealth, which is unequally distributed. That’s what Marxists hate.  
* Capitalism has made even the poorest people—also those in the poorest countries—much wealthier than they had ever been in human history. 
* But Marxists don’t care about it. They hate capitalism because they envy the rich. 
* Marxists want everybody to have equal wealth. 
* But Marxists can only create equal poverty. 
* This is what socialist and communist countries have ever achieved: EQUAL DIRE POVERTY which excepts only their ruling elite.   

To destabilise our Western societies and achieve socialism/communism, Marxists lie and cheat. These are their tactics: climate change hoax, gender fluidity, racial divisions (BLM), identity politics etc. 

The preferential treatment of Muslims is an example of identity politics in our daily lives. 
This is an example of REPRESSIVE TOLERANCE, which we now call POLITICAL CORRECTNESS, a Maoist phrase translated into English. 

WHAT CAN YOU DO to stop Marxist takeover?
1. Know what is happening. 
2. Tell others about it. 
3. Don’t submit to Political Correctness:  
    * Don’t use woke expressions. 
    * Say what you really think. 
    * Don’t be afraid. You still have this right. Don’t let them scare you into obedience. 
    * Tell history to your children before the Marxists in schools and their useful idiots brainwash them.  (“Useful idiots” is what Soviet communist dictator Lenin called in private his ignorant supporters.)
    * Tell your kids that there are only two genders no matter what others tell them. 
4. Write to your MP. 
5. Write to your premiere. 
6. Write to Scott Morrison. Use this information to tell them that you understand the agenda and you protest. 

EVERYBODY MUST DEFEND OUR FREEDOM.  Everybody must fight for our Western Democracy NOW! BEFORE IT’S TOO LATE. 

https://www.facebook.com/photo.php?fbid=10158730474164228&set=a.10151001599649228&type=3",,,,-7
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,N/A,N/A,2020-07-31 21:39:22 EDT,2020-08-01,21:39:22,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/924189184733511,,https://www.facebook.com/photo.php?fbid=10214042192409407&set=gm.931528497330422&type=3,,,Peter,"AN UPDATE ON EVE THE TOPLESS  Score so far"""" Tits 5  Brains  0 """"
Greek Australian Covid-19 conspiracy theorist Eve Limberiou, known as Eve Black, has been arrested after failing to give police her details at a checkpoint and then gloating about it in a Facebook video which went viral.
Following her first video posted last Thursday, the 28-year-old was unsuccessful in trying to pull the same stunt in Carlton, an inner-northern suburb of Melbourne, Victoria, Australia.
Victoria Police allege she refused to provide her name and address or state her reason for travel. The police allege that they were forced to break her car’s window during the arrest as she refused to wind down her window or step out of the vehicle as directed.
The arrest took place at 1:55pm on Wednesday. Charges include failing to hand over her driver’s license, failing to state her name and address, violating COVID-19 public health orders and traffic offences. 
at a notorious Melbourne swingers’ party.  She had been booked to play an angel for the headline performance of the “good and evil” theme, but organisers felt she was better suited to playing the devil, “which she did with gusto”, according to the paper.   One Melbourne punter told the Herald Sun, “Of all the toppys we’ve had to the house in between lockdowns, Eden was the best,” using slang for topless waitress. 
Following her border checkpoint stunt, Black became the subject of police ire with cops calling her actions “selfish, childish, ridiculous and unnecessary” while the Premier threatened those that choose to dodge lockdown will face similar penalties.
“There’s a well publicised case of a person who thought they’d put themselves on social media and brag about having gone through a police checkpoint,” Premier Daniel Andrews said on Thursday.  “They have now been found. I don’t believe they received an on-the-spot fine. That is the low-level fine. I think they will be charged on summons. That will be a matter for others. I do not determine those matters but there is the on the spot $1652 fine and if you go through a court process it is much closer to $10,000 so it is a pretty significant penalty.”
In a statement, Victoria Police said Ms Black, from Warrandyte, had been arrested on Princes Street in the inner city Melbourne suburb of Carlton. Members from Dandenong’s frontline tactical unit arrested Ms Black.
“She was asked to provide her name and address which she refused to do. Police then directed her to produce her driver’s licence and explain her reason for travel, which she also refused to comply with,” police said.  “This led to police arresting her. During the arrest, police were forced to break the woman’s car window as she refused to speak to them, wind down her window, or step out of the vehicle.”    She was released pending summons for traffic-related offences, failing to produce a license, failing to produce name and address, and breaches of the Chief Health Officer’s directives.
Victoria Police had been looking for Ms Black since she laughed at officers while passing through the checkpoint.
The Free Thinkers  https://www.facebook.com/groups/645122792637662",,,,-46
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,N/A,N/A,2020-07-31 21:12:15 EDT,2020-08-01,21:12:15,Status,20,5,1,7,1,0,0,0,6,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/924176018068161,,,,,,,,,,-1.05
New Yorkers for Medical Freedom and Parental Rights,,1218342048354149,none,,,2020-01-05 23:47:04 EST,1843,N/A,2020-07-31 21:11:14 EDT,2020-08-01,21:11:14,Link,10,0,1,9,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1218342048354149/permalink/1494821040706247,"📣 Cuomo's Gotta Go Rally 📣 Monday, August 3, 2020 Academy Park, Albany, NY Rally in Albany March to the Capitol Monday, August 3, 10 am Academy Park, corner of Eagle and Elk Streets Followed by a march to the Capitol on State Street On issue after issue Governor Andrew Cuomo is on the wrong side of history and basic human rights. From the carnage in the nursing homes, to squashing small business, to ruling by decree, to eliminating religious exemptions, to defunding the police, to bail reform, to allowing terminating full term pregnancies, to pending forced covid 19 shots for all, to school soverriding physician's decisons for their patients, advocates from a broad range of groups working on a wide range of issues, who may not necessarily agree with each other on every issue, agree on one thing: Cuomo's gotta go. The rally will take place on the first day of hearings on Cuomo's handling of the covid 19 crisis beginning with the more than 10,000 deaths in New York's nursing homes. Be there! Speakers include: Kevin Barry, Civil rights attorney Traci Belmonte, Voices for Seniors, Cara Castronuovo, Golden Gloves Boxing Champion, Liberate NY Doug Esmond, Religious liberty advocate Steve Felano, Second Amendment advocate, 2AWNY Jonathan Gilliam, former Navy SEAL, former FBI Special Agent, author of Sheep No More, and commentator John Gilmore, Autism Action Network Ali Hamideh, Parent whose child had their medical exemption pulled by the state but restored following a lawsuit Mary Holland, Civil rights attorney Stephanie Jackson, Candidate for the 128th Assembly District (Syracuse) Brooke Jordan, Human rights advocate, Danielle Messina, Voices for Seniors Erin Olszewski, Elmhurst Hospital covid 19 whistle blower Rita Palma, Parental Rights Advocate, My Kids My Choice **No forced covid 19 shots** “We want to use New York as a laboratory. We are ready, willing, in any way."" Andrew Cuomo, 4/15/20. Using an experimental medical product should be the individual and the parent's choice not left to corrupt politicians. **End Cuomo's dictatorial rule by Executive Order!** He can rule by Executive Order until next April! **Independent investigation of the disaster in New York's nursing homes** Cuomo still won't say how many became ill in nursing homes but died in hospitals **Stop the destruction of New York's small businesses** Who does Cuomo thinks pays taxes? **Support Law Enforcement** Murders in NYC have more than doubled **Restore religious exemptions from vaccine mandates** Just like 45 states have. **Medical exemptions from vaccines decided by doctors not bureaucrats** Just like 48 states have. No forced masks, We do not need laws to enforce mask wearing. 🇺🇸🇺🇸Bring signs, bring friends and family, bring water.🇺🇸🇺🇸 Directions: https://www.mapquest.com/us/new-york/academy-park-413054344 Please share this message with friends and family, and please share on social networks while we still can. This is the rally that brings us all together! Be there!!",https://www.mapquest.com/us/new-york/academy-park-413054344,,,"Academy Park 18 Eagle St Albany, NY - MapQuest","Get directions, reviews and information for Academy Park in Albany, NY.",,,,-2
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,N/A,N/A,2020-07-31 19:58:55 EDT,2020-07-31,19:58:55,Native Video,7,5,1,1,0,0,0,0,0,0,share,No,0,2975982,0,00:03:33,https://www.facebook.com/groups/643541389464960/permalink/924142498071513,,https://www.facebook.com/drdareld.morris/videos/3406626716066778/,,,DrDareld,"COVID-19: Political Update 
#COVID19 #gulfshorestrong #morrismedicalcenter #politics #wakeupamerica #Trump2020 #COVID #Hydroxychloroquine #CoronaVirusUpdate",,,,-2.71
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,N/A,N/A,2020-07-31 19:54:17 EDT,2020-07-31,19:54:17,Native Video,4,3,0,1,0,0,0,0,0,0,share,No,0,2975982,0,00:03:33,https://www.facebook.com/groups/643541389464960/permalink/924140584738371,,https://www.facebook.com/drdareld.morris/videos/3406626716066778/,,,DrDareld,"COVID-19: Political Update 
#COVID19 #gulfshorestrong #morrismedicalcenter #politics #wakeupamerica #Trump2020 #COVID #Hydroxychloroquine #CoronaVirusUpdate",,,,-4.75
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,N/A,N/A,2020-07-31 19:37:38 EDT,2020-07-31,19:37:38,Photo,1,0,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/924132984739131,,https://www.facebook.com/RealBenGarrisonCartoons/photos/a.731915903535389/3221575704569384/?type=3,,,Ben Garrison Cartoons,#BigTechHearing #BigTechCensorship New #BenGarrisonCartoon  Tech Overlords decide who is worthy of #FreeSpeech? That is not America! Great Post at https://grrrgraphics.com/big-tech-censorship  Pls share,,,,-23
New Yorkers for Medical Freedom and Parental Rights,,1218342048354149,none,,,2020-01-05 23:47:04 EST,1842,N/A,2020-07-31 19:28:52 EDT,2020-07-31,19:28:52,Native Video,7,4,0,3,0,0,0,0,0,0,share,No,0,31392,0,00:08:58,https://www.facebook.com/groups/1218342048354149/permalink/1494769347378083,,https://www.facebook.com/JoshBucky/videos/10222856191091311/,,,Joshua,What did Fauci say about double blind placebo based studies today?,,,,-0.59
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,N/A,N/A,2020-07-31 19:09:45 EDT,2020-07-31,19:09:45,Photo,20,4,11,2,3,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/924120471407049,,,,,,,,,,-1.15
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,N/A,N/A,2020-07-31 18:21:51 EDT,2020-07-31,18:21:51,YouTube,11,6,1,0,4,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/924097284742701,Yeah wanna go faster,https://www.youtube.com/watch?v=EPEqRMVnZNU&feature=share,,,The Drifters - Under the Boardwalk,"Under the Boardwalk by The Drifters Lyrics: Oh, when the sun beats down and burns the tar up on the roof And your shoes get so hot you wish your tired feet w...",,,,-1.73
