Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2329,N/A,2020-11-30 23:35:34 EST,2020-12-01,23:35:34,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/1020771588408603,,,,,,,,,,-46
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2329,N/A,2020-11-30 23:27:22 EST,2020-12-01,23:27:22,Native Video,5,4,1,0,0,0,0,0,0,0,share,No,0,3953898,0,00:01:00,https://www.facebook.com/groups/643541389464960/permalink/1020767988408963,,https://www.facebook.com/FLOTUS45/videos/427976765060913/,,,First Lady Melania Trump Archived,"During this special time of the year, I am delighted to share “America the Beautiful” and pay tribute to the majesty of our great Nation. Together, we celebrate this land we are all proud to call home. #WHChristmas",,,,-3.8
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2329,N/A,2020-11-30 23:18:12 EST,2020-12-01,23:18:12,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/1020762778409484,,https://www.nationalsecurity.gov.au/Securityandyourcommunity/Pages/National-Terrorism-Threat-Advisory-System.aspx,,,National Terrorism Threat Advisory System | Australian National Security,The National Terrorism Threat Advisory System is a scale of five levels to provide advice about the likelihood of an act of terrorism occurring in Australia:,,,,-42
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2329,N/A,2020-11-30 23:09:04 EST,2020-12-01,23:09:04,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/1020757178410044,,https://kangaroocourtofaustralia.com/2020/03/07/scott-morrisons-lies-start-to-unravel-about-his-knowledge-of-the-police-investigation-into-paedophile-protector-brian-houston/,,,Scott Morrison’s lies start to unravel about his knowledge of the police investigation into paedophile protector Brian Houston,"Scott Morrison has admitted he lied about trying to take paedophile protector Brian Houston to the White House last September. Of course, Morrison doesn’t call it a lie but what is a bigger l…",,,,-42
Vaccine Induced Autoimmune Disease,,1605232133111028,none,,,2020-01-05 23:46:23 EST,1576,N/A,2020-11-30 22:50:07 EST,2020-12-01,22:50:07,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1605232133111028/permalink/2509549499345949,somehow...,https://www.facebook.com/100007597984543/posts/2711287359134504/,,,This is a re-share of a post,"“But most revealing of all were the various heroic attempts to prove the infectious nature of this disease, using volunteers. All these attempts, made in November and December 1918 and in February and March 1919, failed. One medical team in Boston, working for the United States Public Health Service, tried to infect one hundred healthy volunteers between the ages of eighteen and twenty-five. Their efforts were impressive and make entertaining reading:
“We collected the material and mucous secretions of the mouth and nose and throat and bronchi from cases of the disease and transferred this to our volunteers. We always obtained this material in the same way. The patient with fever, in bed, had a large, shallow, traylike arrangement before him or her, and we washed out one nostril with some sterile salt solutions, using perhaps 5 c.c., which is allowed to run into the tray; and that nostril is blown vigorously into the tray. This is repeated with the other nostril. The patient then gargles with some of the solution “Next we obtain some bronchial mucus through coughing, and then we swab the mucous surface of each nares and also the mucous surface of the throat… Each one of the volunteers… received 6 c.c. of the mixed stuff that I have described. They received it into each nostril; received it in the throat, and on the eye; and when you think that 6 c.c. in all was used, you will understand that some of it was swallowed. None of them took sick.”
In a further experiment with new volunteers and donors, the salt solution was eliminated, and with cotton swabs, the material was transferred directly from nose to nose and from throat to throat, using donors in the first, second, or third day of the disease. “None of these volunteers who received the material thus directly transferred from cases took sick in any way… All of the volunteers received at least two, and some of them three ‘shots’ as they expressed it.”
In a further experiment 20 c.c. of blood from each of five sick donors were mixed and injected into each volunteer. “None of them took sick in any way.
“Then we collected a lot of mucous material from the upper respiratory tract, and filtered it through Mandler filters. This filtrate was injected into ten volunteers, each one receiving 3.5 c.c. subcutaneously, and none of these took sick in any way.
“Then a further attempt was made to transfer the disease “in the natural way,” using fresh volunteers and donors: “The volunteer was led up to the bedside of the patient; he was introduced. He sat down alongside the bed of the patients. They shook hands, and by instructions, he got as close as he conveniently could, and they talked for five minutes. At the end of the five minutes, the patient breathed out as hard as he could, while the volunteer, muzzle to muzzle (in accordance with his instructions, about 2 inches between the two), received this expired breath, and at the same time was breathing in as the patient breathed out… After they had done this for five times, the patient coughed directly into the face of the volunteer, face to face, five different times… [Then] he moved to the next patient whom we had selected, and repeated this, and so on, until this volunteer had had that sort of contact with ten different cases of influenza, in different stages of the disease, mostly fresh cases, none of them more than three days old… None of them took sick in any way.”
Rosenau, Milton J. 1919. “Experiments to Determine Mode of Spread of Influenza.” Journal of the American Medical Association 73(5): 311-13.",,,,-0.93
Vaccine Induced Autoimmune Disease,,1605232133111028,none,,,2020-01-05 23:46:23 EST,1576,N/A,2020-11-30 22:13:46 EST,2020-12-01,22:13:46,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1605232133111028/permalink/2509533906014175,We do need help but not of that kind. Vaxxines supposedly have good intentions...,,,,,,,,,-40
Christians rejecting Covid-19 Vaccine,,299208331360137,none,,,2020-11-12 00:31:40 EST,103,N/A,2020-11-30 21:26:49 EST,2020-12-01,21:26:49,Photo,4,1,1,0,0,0,0,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/299208331360137/permalink/377674226846880,,,,,,,,,,-4.75
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2329,N/A,2020-11-30 21:26:09 EST,2020-12-01,21:26:09,Photo,3,1,1,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/1020709585081470,,https://www.facebook.com/photo.php?fbid=10214659941692753&set=gm.1028440940972510&type=3,,,Peter,"IS FACEBOOK HYPOCRITICAL  Like their buddy buddies 
Celebrated by Twitter"""""""""" is this gone be ignored by Facebook """"""""
HELLO Facebook Please """"""FACT CHECK PLEASE""""""
HELLO Facebook Please are You Hypo cribs Please don't let you political leaning shine trough",,,,-7.67
Christians rejecting Covid-19 Vaccine,,299208331360137,none,,,2020-11-12 00:31:40 EST,103,N/A,2020-11-30 21:15:59 EST,2020-12-01,21:15:59,Photo,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/299208331360137/permalink/377669583514011,,,,,,,,,,-19
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2329,N/A,2020-11-30 21:14:19 EST,2020-12-01,21:14:19,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/1020704628415299,,https://drcharlieward.com/lee-dawson-update-being-banned-on-youtube-and-the-latest-on-joe-biden-must-watch,,,Lee Dawson Update Being Banned On Youtube And The Latest On Joe Biden – Must Watch - Dr. Charlie Ward,WATCH NOW,,,,-42
