Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913212,1877752,2020-03-31 23:00:26 EDT,2020-04-01,23:00:26,Native Video,63,32,2,28,1,0,0,0,0,0,share,No,3301,223066,0,00:01:14,https://www.facebook.com/healthyholisticliving/posts/2994359357273470,Got parasites?,https://www.facebook.com/VegetableJuicing/videos/1243409979143353/,,,Juicing Vegetables,"10 Warning Signs The Body Is Full Of Parasites And 7 Foods That Can Help Kill Them
Learn more: https://bit.ly/2LRHaHl:=:http://fitlife.tv/10-warning-signs-the-body-is-full-of-parasites-and-7-foods-that-can-help-kill-them/nutrition/?utm_source=facebook&utm_medium=social&utm_campaign=lumen+video&utm_term=signs+parasites",,,,-2.22
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913212,1877752,2020-03-31 22:00:10 EDT,2020-04-01,22:00:10,Link,56,24,4,23,1,4,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2991761844199888,"Here’s a list of five warning signs that may indicate a mold illness, and not just an allergy.",https://www.healthy-holistic-living.com/5-warning-signs-of-a-mold-illness/?utm_source=HHL,,,5 Warning Signs of a Mold Illness,"Mold can be a silent and sneaky offender of all kinds of health problems. Yet, you may be worried when you see a little mold in your house. You may not think of it as the cause of odd symptoms.",,,,-2.98
Circleofmamas,circleofmamas,1855831771359080,HEALTH & WELLNESS WEBSITE,US,"Our mission is to spread awareness of Vaccine Injuries. 

",2020-10-30 19:11:58 EDT,N/A,N/A,2020-03-31 21:47:42 EDT,2020-04-01,21:47:42,Photo,418,104,11,60,21,2,0,217,3,0,,-,0,0,0,N/A,https://www.facebook.com/circleofmamas/posts/2571509416457975,The truth no one wants to talk about. 🙏💔 👉 https://circleofmamas.com/vaccine-injury-stories/remys-story-sudden-death-the-same-night-of-his-2-month-shots/,https://www.facebook.com/photo.php?fbid=10217099202536127&set=p.10217099202536127&type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fphoto.php%3Ffbid%3D10217099202536127%26set%3Dp.10217099202536127%26type%3D3,"Corydan ARE VACCINES SAFE? ""Anaphylactic/Adverse reaction to the multiple vaccinations received the the day prior"" -Autopsy- 06/07/19 Remington ""Remy' Dale Starkey Passed away approx. 12 hours after receiving the CDC recommended schedule 08/09/19",SaVanna,"Oh baby Remy how I miss you so 
#RememberRemy",,,,22
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913212,1877752,2020-03-31 21:00:57 EDT,2020-04-01,21:00:57,Photo,499,315,15,111,57,0,0,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2991944450848294,,https://www.facebook.com/nordicnaturals/photos/a.304118439613611/4187049234653826/?type=3,,"FORGIVE OTHERS, NOT BECAUSE THEY DESERVE FORGIVENESS, BUT BECAUSE YOU DESERVE PEACE. UNKNOWN N@NORDICNATURALS",Nordic Naturals,,,,,-2.98
Holistic Hilda,HolisticHilda,985921748210269,PODCAST,,Do you want to improve your health w/o fancy shakes or flashy programs? Holistic Hilda is an expert on ancestral health practices & she can show you how to nurture wellbeing the natural way.,2020-05-01 19:32:09 EDT,N/A,N/A,2020-03-31 20:45:57 EDT,2020-04-01,20:45:57,Photo,41,22,6,0,13,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/HolisticHilda/posts/1808304789305290,"Hey! Since we’re going to be journeying together, take my hand (virtually) and let me introduce myself. 😀 🧡 I had 4 kids in 5 years because I like to get things done..and FAST 👶 👶 👶 👶 🧡 I’m Latina, with Mexican and Cuban blood🌶 🧡 I rank at the highest level of extrovert in the Myers Briggs personality indicator 👋 🧡 I’m a vocalist in a band called The DC Envoys (b/c my band mates are 🌍 travelers) 🧡 My first career was translation (Spanish & French to English) 🖊 📖 🧡 I quit that job to raise my kids & b/c I wanted more face time w/ people 👋 🧡I love challenges but can’t see myself skydiving 🪂 🧡 I fell into podcasting b/c I met a Maasai elder whose story had to be told 🎙 🧡 I began traveling the world inspired by Dr. Weston A. Price, eager to learn about ancestral health practices 🔥 🧡In this pic, I’m in Puerto Rico exploring Cueva de la Ventana (Window Cave) 🦇 🧡My next trip will be to Ecuador! 🇪🇨 🧡Everything I learn about health—from studies to be a health coach or guests on the Wise Traditions podcast or my Holistic Hilda YouTube channel—I share w/ you b/c I want everyone to live their best, healthiest life. 💫 And Im convinced this doesn’t come in some trendy pricey get-chiseled program or slick weight loss shake. Good health comes from looking to the wisdom of the past & adopting the practices of our ancestors. 🙏 For more on that, subscribe to the podcast 🎧 https://podcasts.apple.com/us/podcast/wise-traditions/id1072618042 and my YouTube 🎥 channel https://www.youtube.com/c/holistichilda.:=:https://www.youtube.com/error?src=404 Now, tell me 3️⃣ things about you that I might not know! I’m grateful that we are journeying through life together! Let’s hold on to each other tightly, even if only virtually for now! <3",https://www.facebook.com/HolisticHilda/photos/a.1002953586507085/1808304789305290/?type=3,,,Timeline Photos,,,,,1.17
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 20:00:19 EDT,2020-04-01,20:00:19,Link,74,44,1,27,1,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2991760224200050,Drink Lemon Water Instead Of Pills If You Have One Of These 13 Problemsm_source=HHL,https://www.healthy-holistic-living.com/drink-lemon-water-instead-pills-one-12-problems/?utm_source=HHL,,,Drink Lemon Water Instead of Pills If You Have One Of These 12 Problems,Consuming warm water with lemon every morning is one of the best things that you can do for your organism.,,,,-2.26
Circleofmamas,circleofmamas,1855831771359080,HEALTH & WELLNESS WEBSITE,US,"Our mission is to spread awareness of Vaccine Injuries. 

",2020-10-30 19:11:58 EDT,N/A,N/A,2020-03-31 18:09:43 EDT,2020-03-31,18:09:43,Photo,80,56,3,13,8,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/circleofmamas/posts/2571403749801875,"Here we are almost 60 years later, dealing with the consequences of a diet of weak poisons, and living in a world which is just not quite fatal. In the United States: 1,773 people die of heart disease every single day 1,641 people die of cancer every single day 438 people die of chronic lower respiratory diseases every single day 332 people die of Alzheimer’s disease every single day These major causes of death take the lives of 1.5 million people every single year. Where are all the news stories? New post 👉https://circleofmamas.com/health-news/chronic-illness-is-the-real-pandemic/",https://www.facebook.com/circleofmamas/photos/a.1876263759315881/2571403749801875/?type=3,,"""Why should we tolerate a diet of weak poisons, a home in insipid surroundings, circle of acquaintances who are not quite our enemies, the noise of motors with just enough relief to prevent insanity? Who would want to live in world which is just not quite fatal?"" rachel carson, silent spring, 1962 circleofmamas.com",Timeline Photos,,,,,4.21
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 18:00:00 EDT,2020-03-31,18:00:00,Link,759,40,137,96,3,8,1,394,80,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2991759627533443,"Kious Kelly, 48, died at Mount Sinai West in Manhattan on Tuesday night",https://www.healthy-holistic-living.com/worker-nyc-hospital-where-staff-wore-trash-bags-dies-at-48/?utm_source=HHL,,,Worker NYC hospital where staff wore TRASH BAGS dies at 48,Kious Kelly's sister wants New York to know what an amazing person he was.,,,,4.54
Circleofmamas,circleofmamas,1855831771359080,HEALTH & WELLNESS WEBSITE,US,"Our mission is to spread awareness of Vaccine Injuries. 

",2020-10-30 19:11:58 EDT,N/A,N/A,2020-03-31 17:55:56 EDT,2020-03-31,17:55:56,Photo,25,11,1,4,4,0,0,5,0,0,,-,0,0,0,N/A,https://www.facebook.com/circleofmamas/posts/2571393993136184,"My sister lays in a hospital bed, legs outstretched and filled with so much fluid they pit when you press on them. The pressure of the constant fluid has caused her knee caps to crumble. She can barely walk, and she can’t hold her head up for long. She doesn’t have #coronavirus. She isn’t even in a hospital. But she is one of the 133 million Americans currently living with a chronic health condition. It is estimated that 60% of Americans have at least one chronic condition, and 40% have two or more. It’s not just adults. The percent of children living with a chronic health condition ranges from 27% of children have a condition that affects their daily activities, to 54% of children have a chronic health condition when overweight, obesity, or being at risk for developmental delays are included. These numbers are rising, and there is no genetic explanation: asthma and Attention Deficit Hyperactivity Disorder (ADHD) rates are disproportionately higher for children living in poverty, compared to wealthier families, and a recent study found Autism is half as common in wealthy whites compared to poor whites living in the same exact State. ""There is an urgent need to understand what wealthy California parents are doing or have access to that may be lowering their children’s risk, and what changes occurred around 2000 that may have affected these parents’ behavior or options. Conversely, there is an equally urgent need to understand the factors that may lead to increased risk of ASD among lower income populations, including factors that may be beyond their control, such as access to and autonomy over healthy food, health care, stressful environments and toxic exposures."" These studies suggest what many of us have known for a long time: genetics don’t cause epidemics. The truth is, wealthy whites are avoiding or opting out of many of the possible environmental triggers that compromise our children’s health, and rob them of their full potential. Some of the medications and vaccines given for free through Medicaid may be fundamentally different as well. Either way, it’s not the parent’s fault when they too are just ‘following doctor’s orders’. And everything, from infant formula to vaccinations, is FDA approved. We have been failed by these regulatory agencies. *This* is the news story. 🇺🇸 In the United States: 🇺🇸 1,773 people die of heart disease every single day 1,641 people die of cancer every single day 438 people die of chronic lower respiratory diseases every single day 332 people die of Alzheimer’s disease every single day These major causes of death take the lives of 1.5 million people every single year. Where are all the news stories? These people are not just numbers–they are grandmas and grandpas, aunts and uncles, mothers and fathers, and children. About 16,000 children 18 years and under will be diagnosed with cancer this year alone, an unexplained increase of 60% over the last 41 years. The causes of many of these chronic conditions often hide behind the ambivalent “unknown cause.” But I have a feeling, we could figure it out if we really tried. We do know that many of them have environmental causes: diet, air pollution, water quality, pesticides, chemicals, sunscreens, beauty products, medications and vaccines–all contribute something to the toxic load. For example, children who receive ‘any vaccines’ are about 2.4 times more likely to have any chronic condition, compared to completely unvaccinated children. My sister. After decades of losing battle after battle with her weight (unhealthy eating habits, fast food, big gulps, fried food—these are ‘classic American staples’ right?) and she was and is a smoker too, my sister had an early form of the gastric bypass surgery, the Roux-en-Y gastric bypass, which removed most of her small intestine. The exact surgery she had, they don’t do anymore, it is so dangerous to one’s health. The FDA approved surgery thrust her into a state of malnutrition. She lost all her hair. One in 5 post-surgery patients develop alcohol problems, and she did. She ended up losing everything: her family, then her custody, her job, and her spark. Right when she started to get things together again, she developed a Deep Vein Thrombosis (DVT) in her leg. Her doctors recommended implanting an IVC filter (inferior vena cava filter) which is a little wire filter that resembles a long legged spider. It was placed in her major artery to catch the small blood clots that might break off the larger clot. It was only supposed to be temporary and she was also given blood thinners. (It’s supposed to be one or the other, not both). The doctor at the hospital who discharged her calculated her blood thinners wrong, and overdosed her. Within three days of being home they frantically searched for an OB/GYN who would perform an emergency hysterectomy to stop a pelvic bleed. The ER doctor could not believe it, her INR blood (truncated)",https://www.facebook.com/circleofmamas/photos/a.1876263759315881/2571389973136586/?type=3,,,,,,,,1.32
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 17:00:06 EDT,2020-03-31,17:00:06,Photo,"5,146",814,79,2889,42,5,1314,3,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2993811960661543,Lol! 😁,https://www.facebook.com/healthyholisticliving/photos/a.327445603964872/2993811960661543/?type=3,,"After listening her owner drone on for hours, Ginger suddenly realized she was NOT cut out to be an emotional support dog after all.",Timeline Photos,,,,,3.46
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 16:00:33 EDT,2020-03-31,16:00:33,Link,155,62,10,73,10,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2991758724200200,Now is the time to learn!,https://www.healthy-holistic-living.com/10-survival-skills-your-great-grandparents-knew-that-most-of-us-have-forgotten/?utm_source=HHL,,,10 Survival Skills Your Great-Grandparents Knew (That Most Of Us Have Forgotten),Survival skills have increasingly become more of a hobby than a necessity in our modern era...ironically.,,,,-1.08
Children's Health Defense,ChildrensHealthDefense,1797590283821718,NONPROFIT ORGANIZATION,US,"End childhood health epidemics by exposing causes, eliminating harmful exposures; seeking justice for the injured and establishing safeguards.",2019-03-08 13:04:29 EST,102871,111220,2020-03-31 14:40:32 EDT,2020-03-31,14:40:32,Link,535,256,42,160,1,41,2,10,23,0,,-,0,0,0,N/A,https://www.facebook.com/ChildrensHealthDefense/posts/2597950940452311,"When discussing the coronavirus vaccine, Dr. Fauci talks about vaccine enhancement --meaning a person can get sicker by taking the vaccine.",https://www.c-span.org/video/?c4864114%2Fuser-clip-fauci-speaks-vaccine-induced-disease-enhancement,https://www.c-span.org/video/?c4864114/user-clip-fauci-speaks-vaccine-induced-disease-enhancement,,User Clip: Fauci Speaks About Vaccine Induced Disease Enhancement,Fauci Speaks About Vaccine Induced Disease Enhancement,,,,1.84
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 14:00:08 EDT,2020-03-31,14:00:08,Link,29,13,0,5,11,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2991757230867016,"The 92-year-old pensioner called the police when his tools were stolen. He wanted police to investigate, but when they arrived, and entered his home, they made a disturbing discovery they couldn't ignore.",https://www.healthy-holistic-living.com/92-year-old-sounds-the-alarm-after-robbery-then-police-make-hair-raising-discovery-in-his-house-they-cant-ignore/?utm_source=HHL,,,"92-year-old sounds the alarm after robbery – then police make hair-raising discovery in his house they can’t ignore The 92-year-old pensioner called the police when his tools were stolen. He wanted police to investigate, but when they arrived,...","World War II veterans are a rarity. Not many of these war heroes are still living today, but 92-year-old Louis C. Hicks is one of the remaining few.",,,,-5.76
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 12:00:41 EDT,2020-03-31,12:00:41,Link,249,48,17,145,0,30,1,5,3,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2991756440867095,These aren’t ladybugs in your house- they’re something much worse,https://www.healthy-holistic-living.com/how-to-tell-the-difference-between-good-and-bad-ladybugs/?utm_source=HHL,,,Have You Noticed Beetles In your Home? These Aren't Ladybugs- They're Something Much Worse,"You may fall into the trap of identifying an Asian lady beetles as a ladybug. Though they are part of the same family, Coccinellidae, they are actually different.",,,,1.49
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 11:01:04 EDT,2020-03-31,11:01:04,Link,53,30,0,22,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2993152507394155,"If you don’t get enough magnesium, your body simply cannot function at its best. Boost your levels with these top 9 magnesium-rich foods.",http://www.healthy-holistic-living.com/6-simple-ways-tell-youre-deficient-magnesium-9-foods-need-eat.html?utm_source=HHL,,,6 simple ways to tell if you’re deficient in magnesium (and 9 foods you need to eat!),"Magnesium is the fourth most abundant mineral in your body. If you don’t have enough of it, your body simply cannot function at its best. Insufficient cellular magnesium levels set the stage for deterioration of proper metabolic function that typically snowballs into more significant health proble...",,,,-3.15
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 10:00:49 EDT,2020-03-31,10:00:49,Photo,"7,573",1220,28,5165,33,11,1110,6,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2993042860738453,True story!,https://www.facebook.com/healthyholisticliving/photos/a.327445603964872/2993042860738453/?type=3,,"The threat from Piranhas and Quicksand may have been exaggerated when we were kids, but we really underestimated Cooties",Timeline Photos,,,,,5.09
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 09:00:22 EDT,2020-03-31,09:00:22,Link,20,12,2,4,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2991755804200492,Stay informed!,https://www.healthy-holistic-living.com/heres-how-i-avoided-all-viral-illness-after-my-bone-marrow-transplant-and-how-you-can-too/?utm_source=HHL,,,"Here's how I avoided all viral illness after my bone marrow transplant, and how you can, too.'",A. M. Carter has written a powerful blog on Medium.,,,,-8.35
Earthley,earthley,749122528556667,HEALTH & WELLNESS WEBSITE,US,"An all-natural alternative to your personal care and wellness needs! Soaps, salves, tinctures, and more!!!",2018-10-18 03:36:42 EDT,29978,30929,2020-03-31 08:37:19 EDT,2020-03-31,08:37:19,Link,24,14,0,3,7,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/earthley/posts/1881281245340784,"Ready to create an herb garden, and wild craft herbs from your yard? Learn how you can use 5 popular herbs to support health, plus drawing and writing prompts, gardening tips, and more! Grab our NEW unit study: https://www.earthley.com/product/an-herb-garden-unit-study/",https://www.earthley.com/product/an-herb-garden-unit-study/,,,An Herb Garden Unit Study - Earthley,"This digital book will teach young students the 'how' of gardening: all those nitty-gritty details bout when to plant, how and when to fertilize, companion plants to avoid bugs, and more. It will also encourage them to investigate gardening even further on their own through questions and little expe...",,,,-16.62
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 07:00:16 EDT,2020-03-31,07:00:16,Native Video,41,7,1,28,2,3,0,0,0,0,share,No,2227,180698,0,00:01:01,https://www.facebook.com/healthyholisticliving/posts/2992722907437115,Is your phone on the list?,https://www.facebook.com/VegetableJuicing/videos/1965897860132077/,,,Juicing Vegetables,"Top 5 Phones With Highest Radiation
Learn more: https://bit.ly/2vlBv6L:=:http://fitlife.tv/top-5-phones-with-highest-radiation/mindset/?utm_source=facebook&utm_medium=social&utm_campaign=lumen+video&utm_term=phoneradiation+tips",,,,-3.41
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 06:00:50 EDT,2020-03-31,06:00:50,Link,123,44,33,16,0,0,1,8,21,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2975009375875135,Fame should not influence who gets tested for the coronavirus.,https://themighty.com/2020/03/famous-people-coronavirus-tests-prioritized/?utm_source=media_partner&utm_medium=facebook&utm_campaign=HealthyHolisticLiving,,,Celebrities Are Getting Tested for COVID-19. What About the Rest of Us?,Fame should not influence who gets tested for the coronavirus.,,,,-1.36
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 05:00:10 EDT,2020-03-31,05:00:10,Photo,"1,468",205,72,702,9,3,474,3,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2992553714120701,🤣,https://www.facebook.com/healthyholisticliving/photos/a.327445603964872/2992553714120701/?type=3,,"""MARGARET YOUVE BEEN ROUND THE PARK ONCE ALREADY, YOU'RE ASKING FOR A TASER"" LPP BX68 JVE",Timeline Photos,,,,,-1.01
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 03:00:17 EDT,2020-03-31,03:00:17,Photo,76,50,1,16,9,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2992396834136389,From Dr. Nandi himself!,https://www.facebook.com/AskDrNandi/photos/a.312022975485597/2080016712019539/?type=3,,,"Partha Nandi, MD","A wise person speaks first with his actions, second with his mouth.",,,,-19.57
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 02:00:19 EDT,2020-03-31,02:00:19,Native Video,37,19,6,9,3,0,0,0,0,0,share,No,1687,81088,0,00:00:54,https://www.facebook.com/healthyholisticliving/posts/2992322610810478,YUM!,https://www.facebook.com/VegetableJuicing/videos/1965901963465000/,,,Juicing Vegetables,"Fall In Love With This Avocado Hummus 
Learn more: https://bit.ly/2uGZY6b:=:https://www.organifishop.com/blogs/news/you-will-fall-in-love-with-this-avocado-hummus?utm_source=facebook&utm_medium=social&utm_campaign=lumen+video&utm_term=avocadohummus+recipe",,,,-3.78
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 00:00:36 EDT,2020-03-31,00:00:36,Link,97,52,2,15,15,12,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2958964260812980,82-year-old grandma bodybuilder shares her secrets. We've been keeping up with Ernestine for several years now and she continues to be an inspiration!,http://expand-your-consciousness.com/worlds-fittest-grandma-body-builder-just-celebrated-her-80th-birthday/,,,Update: World's Fittest Grandma Body Builder Celebrating Her 83rd Birthday,"Ever felt like you’re too old to do something? Well, you’re not. And Ernestine Shepherd is proof of that. She’s the world’s oldest female bodybuilder, and believe it or not, the iron-pumping grandma recently turned 81.",,,,-1.72
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-30 23:00:11 EDT,2020-03-31,23:00:11,Native Video,29,12,0,13,3,1,0,0,0,0,share,No,1598,102399,0,00:01:10,https://www.facebook.com/healthyholisticliving/posts/2992087990833940,Cauliflower Toast,https://www.facebook.com/VegetableJuicing/videos/1965900443465152/,,,Juicing Vegetables,"How To Make Cauliflower Toast
Learn more: https://bit.ly/2LerTF4:=:https://www.organifishop.com/blogs/news/cauliflower-toast-is-the-newest-brunch-craze?utm_source=facebook&utm_medium=social&utm_campaign=lumen+video&utm_term=cauliflower+recipe",,,,-4.83
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913216,1877753,2020-03-30 22:00:20 EDT,2020-03-31,22:00:20,Link,125,49,7,65,4,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2984662181576521,"If you run out fo fresh butter and are afraid to head to the local store, here you go:",https://www.healthy-holistic-living.com/make-organic-butter-5-minutes/?utm_source=HHL,,,You’ll Never Buy Butter From The Store Again After Making It Yourself (2-Ingredient Recipe),Conventional butter is bad for your health and the health of the environment. This is how to make organic butter at home to save money and your health!,,,,-1.34
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913216,1877753,2020-03-30 21:00:37 EDT,2020-03-31,21:00:37,Native Video,19,11,0,4,4,0,0,0,0,0,owned,Yes,2798,2801,0,00:02:38,https://www.facebook.com/healthyholisticliving/posts/2991729564203116,Things are crazy right now. More then every we need solid community where we can connect and focus on our health and wellness. Join me free for 30 days. https://www.beingwholistic.com/:=:https://www.beingwholistic.com/?r_done=1 #community #healthyholisticliving #healthyholisticlivingmembership #healthjourney #weareinthistogether,https://www.facebook.com/healthyholisticliving/videos/2587713478214913/,,,Free Membership for 30 days,,,,,-7.37
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913216,1877753,2020-03-30 20:00:03 EDT,2020-03-31,20:00:03,Link,71,28,2,37,4,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2984661604909912,Take a Read,http://www.healthy-holistic-living.com/boundaries-routines-and-early-bedtimes-13-habits-that-raise-well-adjusted-kids-2/?utm_source=HHL,,,"Boundaries, routines and early bedtimes: 13 habits that raise well-adjusted kids","Parenting can be intimidating and stressful, especially after constantly hearing and reading about how entitled, narcissistic, and lazy kids are these days. Is there any hope of raising good kids in today’s environment? Of course, there is! Your kids have every chance to be appreciative, kind, har...",,,,-2.35
Children's Health Defense,ChildrensHealthDefense,1797590283821718,NONPROFIT ORGANIZATION,US,"End childhood health epidemics by exposing causes, eliminating harmful exposures; seeking justice for the injured and establishing safeguards.",2019-03-08 13:04:29 EST,102810,111157,2020-03-30 19:47:58 EDT,2020-03-30,19:47:58,Link,953,367,79,290,2,24,0,93,98,0,,-,0,0,0,N/A,https://www.facebook.com/ChildrensHealthDefense/posts/2597286037185468,"As more rights erode, people who are concerned about mandates, informed consent and government tracking of vaccination records have a reason to worry. ""Rights groups say governments may continue to absorb more power while their citizens are distracted. They worry that people may not recognize the rights they have ceded until it is too late to reclaim them.""",https://www.nytimes.com/2020/03/30/world/europe/coronavirus-governments-power.html?referringSource=articleShare,,,"For Autocrats, and Others, Coronavirus Is a Chance to Grab Even More Power",Leaders around the world have passed emergency decrees and legislation expanding their reach during the pandemic. Will they ever relinquish them?,,,,3.27
